GroupNum,ParID,Segment,Valence_Mean_Abs,Valence_Mean,Valence_Sum,Valence_Sum_Abs
5001,103,T2,7.678110861883618,4.677799104678435,25405.126937508583,41699.82009088993
5001,103,T1,4.142998323676711,1.6276374656494066,8839.699075941928,22500.623895888217
5001,103,MAN,0.0817869260309639,-0.03662851761613494,-454.8895602747798,1015.7118343785405
5001,103,BL,8.770996873599639,8.770996873599639,79465.23167481273,79465.23167481273
5001,102,T2,0.9172614743599377,-0.8047881299038878,-4370.804333508015,4981.647067248821
5001,102,T1,2.499890837621522,0.3059403875369741,1661.5622447133064,13576.907139122486
5001,102,MAN,3.9186158046851642,2.72425903038597,36940.95245203376,53136.43031153083
5001,102,BL,0.2478013903889435,-0.2478013903889435,-2245.080596923828,2245.080596923828
5001,101,T2,66.58909920172012,66.03895629722594,353176.33827756427,356118.50253079913
5001,101,T1,68.36386726020554,67.39618630696049,362658.8785177544,367865.969727166
5001,101,MAN,1.8854472845762094,1.4885944764575487,20110.911376941483,25472.39281462459
5001,101,BL,0.11403418187758885,0.07769197484931799,636.6857338901609,934.5101204868406
5002,106,T2,15.835238059693333,11.892969477935145,56122.92296637595,74726.48840369284
5002,106,T1,25.574566243618854,23.212414725487644,123652.53324267268,136235.71437975764
5002,106,MAN,11.022663067446814,11.022663067446814,496.01983803510666,496.01983803510666
5002,106,BL,38.30912237489812,38.30912237489812,206064.76925457697,206064.76925457697
5002,105,T2,12.324582077269532,7.0131078842973835,38291.569048263715,67292.21814189164
5002,105,T1,27.331613913121547,25.05599886579873,137557.43377323504,150050.5603830373
5002,105,MAN,18.42741482815693,-7.885855271956682,-108588.22709484352,253745.50218372094
5002,105,BL,0.030275838560204764,0.028020165120117842,253.86269598826766,274.29909735545516
5002,104,T2,8.185467574623615,0.8097874106269309,4445.732884341851,44938.21698468365
5002,104,T1,26.618778011313417,25.36122219527449,139233.10985205695,146137.09128211066
5002,104,MAN,1.1423728397697719,1.1401738432639792,15700.193821744993,15730.474003629759
5002,104,BL,0.2849276428848966,-0.2826753088049015,-2561.0382977724075,2581.444444537163
5003,109,T2,0.6833426392935243,-0.5209864742684963,-2819.578798741102,3698.250363856554
5003,109,T1,10.98489265465066,5.065177283715003,25969.16393360682,56319.54464039393
5003,109,MAN,0.00561058918606069,-0.00561058918606069,-76.92678833007812,76.92678833007812
5003,109,BL,1.8282853145391487,-1.2746452347555732,-4879.341958644334,6998.676184055861
5003,108,T2,35.194178148352506,22.143656967453207,120837.93607139215,192054.63015555963
5003,108,T1,53.232486565063724,53.04988545913063,97399.58970296383,97734.845333457
5003,108,MAN,35.64847997586165,10.242608743380936,137711.87455475668,479293.8132754598
5003,108,BL,48.97264307446763,48.97264307446763,149170.6708048284,149170.6708048284
5003,107,T2,3.962263044211564,2.7388700337264136,15036.39648515801,21752.824112721486
5003,107,T1,12.36214172102392,11.77722482530536,38747.069675254636,40671.4462621687
5003,107,MAN,0.006201056870987462,-0.004004767110655357,-54.909361854195595,85.02269075810909
5004,112,T2,26.224973809649992,20.935359369102887,113699.93673359777,142427.8327602091
5004,112,T1,25.314509466745644,22.40459137712166,122306.66432770714,138191.90717896447
5004,112,MAN,2.5392354596371955,-0.637994854236662,-8593.790686567838,34203.50164131302
5004,112,BL,13.03806701380803,12.229491536755159,105711.72484371159,112701.05126735661
5004,111,T2,29.35480223160153,16.84360288870213,91477.60728854127,159425.9309198279
5004,111,T1,20.682775700243102,15.452526907364227,84370.79691420868,112927.95532332733
5004,111,MAN,7.296916509711695,2.3796803600023795,32054.294449232053,98289.46538581653
5004,111,BL,16.413761959185464,13.457286508892874,121923.01577056944,148708.68335022032
5004,110,T2,44.34038174111304,35.94760996069899,195231.46969655622,240812.61323598493
5004,110,T1,46.18742244611375,42.906407075147435,234268.982630305,252183.32655578107
5004,110,MAN,0.7725557019260629,0.7725557019260629,10406.325304944068,10406.325304944068
5004,110,BL,11.953121637713474,11.953121637713474,108295.28203768408,108295.28203768408
5005,115,T2,48.23513448690749,45.30733941440916,247740.53191798925,263749.71537441015
5005,115,T1,55.617665151335636,49.39720472562911,93607.70295506716,105395.47546178102
5005,115,MAN,0.2030314748926444,0.04343474144299621,583.936663959641,2729.5551484567113
5005,115,BL,8.281078757759904,0.6726080458769225,5610.896318705287,69080.75899723312
5005,114,T2,44.61494648830934,39.48061532216011,134470.97578727733,151958.50773918163
5005,114,T1,46.80724789554903,44.26971308022914,44889.48906335235,47462.54936608672
5005,114,MAN,34.87941705655991,34.87941705655991,13672.731486171484,13672.731486171484
5005,114,BL,4.236093355786871,2.9855090194155864,25305.17444856651,35905.12728364952
5005,113,T2,35.14613584570713,33.702111130857574,187013.01466512866,195025.90780782886
5005,113,T1,32.70497591298195,30.325547543252902,167973.20784207783,181152.86158200703
5005,113,MAN,0.010779674737749658,-0.005280183281646855,-71.48840145021677,145.9460162743926
5005,113,BL,4.653668255699419,4.634899763361308,42404.69793499261,42576.41087139398
5006,118,T2,19.168631408935735,11.861441906436415,66803.64081704989,107957.73209512606
5006,118,T1,50.32350718253375,46.683909739080235,261990.10145571828,282415.5223083794
5006,118,MAN,5.225001910426197,4.755388354950868,64368.93677261495,70725.62585952901
5006,118,BL,10.797789954905754,-9.503859341374055,-86855.77052081749,98681.00239788368
5006,117,T2,20.8179606636025,17.729113000005373,100151.75933703035,117600.65978869051
5006,117,T1,22.89809361790722,20.030623583631684,112752.38015226275,128893.36897519976
5006,117,MAN,0.8690948356512043,0.8619062490823824,11695.205893798848,11792.747824951191
